column,type,description,SeqId,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Type,ColCheck,n_unique,n_missing,pct_missing
MUTYH.10030.8.3,numeric,Adenine DNA glycosylase (MUTYH),10030-8,SL006373,Adenine DNA glycosylase,MutY homolog,Q9UIF7,4595,MUTYH,Human,Protein,PASS,507,0,0
X.10034.16.3,numeric,Fc_MOUSE (),10034-16,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,799,0,0
DUSP4.10035.6.3,numeric,Dual specificity protein phosphatase 4 (DUSP4),10035-6,SL007389,Dual specificity protein phosphatase 4,DUS4,Q13115,1846,DUSP4,Human,Protein,PASS,665,0,0
ZHX3.10036.201.3,numeric,Zinc fingers and homeoboxes protein 3 (ZHX3),10036-201,SL019252,Zinc fingers and homeoboxes protein 3,ZHX3,Q9H4I2,23051,ZHX3,Human,Protein,PASS,772,0,0
SIGLEC12.10037.98.3,numeric,Sialic acid-binding Ig-like lectin 12 (SIGLEC12),10037-98,SL018490,Sialic acid-binding Ig-like lectin 12,SIG12,Q96PQ1,89858,SIGLEC12,Human,Protein,PASS,645,0,0
PNP.10039.32.3,numeric,Purine nucleoside phosphorylase (PNP),10039-32,SL005262,Purine nucleoside phosphorylase,PNP,P00491,4860,PNP,Human,Protein,PASS,806,0,0
TP63.10040.63.3,numeric,Tumor protein 63 (TP63),10040-63,SL007662,Tumor protein 63,P73L,Q9H3D4,8626,TP63,Human,Protein,PASS,690,0,0
HNF4A.10041.3.3,numeric,Hepatocyte nuclear factor 4-alpha (HNF4A),10041-3,SL007226,Hepatocyte nuclear factor 4-alpha,HNF4A,P41235,3172,HNF4A,Human,Protein,PASS,808,0,0
SGK3.10042.8.3,numeric,Serine/threonine-protein kinase Sgk3 (SGK3),10042-8,SL015131,Serine/threonine-protein kinase Sgk3,SGK3,Q96BR1,100533105,SGK3,Human,Protein,PASS,709,0,0
BRD4.10043.31.3,numeric,Bromodomain-containing protein 4 (BRD4),10043-31,SL019249,Bromodomain-containing protein 4,BRD4,O60885,23476,BRD4,Human,Protein,PASS,649,0,0
CUL3.10045.47.3,numeric,Cullin-3 (CUL3),10045-47,SL010989,Cullin-3,CUL3,Q13618,8452,CUL3,Human,Protein,PASS,775,0,0
BIRC2.10046.55.3,numeric,Baculoviral IAP repeat-containing protein 2 (BIRC2),10046-55,SL003727,Baculoviral IAP repeat-containing protein 2,cIAP-1,Q13490,329,BIRC2,Human,Protein,PASS,741,0,0
CBFB.10048.7.3,numeric,Core-binding factor subunit beta (CBFB),10048-7,SL011998,Core-binding factor subunit beta,PEBB,Q13951,865,CBFB,Human,Protein,PASS,747,0,0
TERF1.10049.112.3,numeric,Telomeric repeat-binding factor 1 (TERF1),10049-112,SL019242,Telomeric repeat-binding factor 1,TERF1,P54274,7013,TERF1,Human,Protein,PASS,596,0,0
ILK.10053.5.3,numeric,Integrin-linked protein kinase (ILK),10053-5,SL004474,Integrin-linked protein kinase,ILK1,Q13418,3611,ILK,Human,Protein,PASS,810,0,0
GAN.10054.3.3,numeric,Gigaxonin (GAN),10054-3,SL019232,Gigaxonin,GAN,Q9H2C0,8139,GAN,Human,Protein,PASS,576,0,0
FOXM1.10056.5.3,numeric,Forkhead box protein M1 (FOXM1),10056-5,SL007372,Forkhead box protein M1,FOXM1,Q08050,2305,FOXM1,Human,Protein,PASS,785,0,0
RAD23A.10058.1.3,numeric,UV excision repair protein RAD23 homolog A (RAD23A),10058-1,SL013796,UV excision repair protein RAD23 homolog A,RD23A,P54725,5886,RAD23A,Human,Protein,PASS,809,0,0
FANCL.10063.10.3,numeric,E3 ubiquitin-protein ligase FANCL (FANCL),10063-10,SL019237,E3 ubiquitin-protein ligase FANCL,FANCL,Q9NW38,55120,FANCL,Human,Protein,PASS,556,0,0
RBBP9.10064.12.3,numeric,Putative hydrolase RBBP9 (RBBP9),10064-12,SL011550,Putative hydrolase RBBP9,RBBP9,O75884,10741,RBBP9,Human,Protein,PASS,709,0,0
PIN1.10069.2.3,numeric,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 (PIN1),10069-2,SL013908,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,PIN1,Q13526,5300,PIN1,Human,Protein,PASS,654,0,0
PLCG2.10070.22.3,numeric,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2 (PLCG2)",10070-22,SL016406,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",PLCG2,P16885,5336,PLCG2,Human,Protein,PASS,779,0,0
TDP1.10073.22.3,numeric,Tyrosyl-DNA phosphodiesterase 1 (TDP1),10073-22,SL011411,Tyrosyl-DNA phosphodiesterase 1,TYDP1,Q9NUW8,55775,TDP1,Human,Protein,PASS,729,0,0
BRD2.10074.128.3,numeric,Bromodomain-containing protein 2 (BRD2),10074-128,SL014748,Bromodomain-containing protein 2,BRD2,P25440,6046,BRD2,Human,Protein,PASS,701,0,0
AP4M1.10076.1.3,numeric,AP-4 complex subunit mu-1 (AP4M1),10076-1,SL019225,AP-4 complex subunit mu-1,AP4M1,O00189,9179,AP4M1,Human,Protein,PASS,745,0,0
BAG3.10078.5.3,numeric,BAG family molecular chaperone regulator 3 (BAG3),10078-5,SL007063,BAG family molecular chaperone regulator 3,BAG3,O95817,9531,BAG3,Human,Protein,PASS,672,0,0
SATB2.10081.17.3,numeric,DNA-binding protein SATB2 (SATB2),10081-17,SL019243,DNA-binding protein SATB2,SATB2,Q9UPW6,23314,SATB2,Human,Protein,PASS,695,0,0
NEFL.10082.251.3,numeric,Neurofilament light polypeptide (NEFL),10082-251,SL019251,Neurofilament light polypeptide,NFL,P07196,4747,NEFL,Human,Protein,PASS,751,0,0
STAR.10085.25.3,numeric,"Steroidogenic acute regulatory protein, mitochondrial (STAR)",10085-25,SL001714,"Steroidogenic acute regulatory protein, mitochondrial",STAR,P49675,6770,STAR,Human,Protein,PASS,745,0,0
CBS.10086.39.3,numeric,Cystathionine beta-synthase (CBS),10086-39,SL018882,Cystathionine beta-synthase,CBS,P35520,102724560,CBS,Human,Protein,PASS,768,0,0
CRYAA.10087.10.3,numeric,Alpha-crystallin A chain (CRYAA),10087-10,SL003675,Alpha-crystallin A chain,Alpha crystallin A chain,P02489,102724652,CRYAA,Human,Protein,PASS,588,0,0
APRT.10088.37.3,numeric,Adenine phosphoribosyltransferase (APRT),10088-37,SL008014,Adenine phosphoribosyltransferase,APT,P07741,353,APRT,Human,Protein,PASS,804,0,0
ASMTL.10089.7.3,numeric,N-acetylserotonin O-methyltransferase-like protein (ASMTL),10089-7,SL019244,N-acetylserotonin O-methyltransferase-like protein,ASML,O95671,8623,ASMTL,Human,Protein,PASS,762,0,0
STUB1.10336.3.3,numeric,E3 ubiquitin-protein ligase CHIP (STUB1),10336-3,SL019100,E3 ubiquitin-protein ligase CHIP,CHIP,Q9UNE7,10273,STUB1,Human,Protein,PASS,789,0,0
ENO2.10339.48.3,numeric,Gamma-enolase (ENO2),10339-48,SL001731,Gamma-enolase,NSE,P09104,2026,ENO2,Human,Protein,PASS,806,0,0
PIAS4.10342.55.3,numeric,E3 SUMO-protein ligase PIAS4 (PIAS4),10342-55,SL019096,E3 SUMO-protein ligase PIAS4,PIAS4,Q8N2W9,51588,PIAS4,Human,Protein,PASS,674,0,0
IL10RA.10344.334.3,numeric,Interleukin-10 receptor subunit alpha (IL10RA),10344-334,SL005173,Interleukin-10 receptor subunit alpha,IL-10 Ra,Q13651,3587,IL10RA,Human,Protein,PASS,796,0,0
STAT3.10346.5.3,numeric,Signal transducer and activator of transcription 3 (STAT3),10346-5,SL007221,Signal transducer and activator of transcription 3,STAT3,P40763,6774,STAT3,Human,Protein,PASS,808,0,0
IRF1.10351.51.3,numeric,Interferon regulatory factor 1 (IRF1),10351-51,SL007108,Interferon regulatory factor 1,IRF1,P10914,3659,IRF1,Human,Protein,PASS,732,0,0
STAT3.10354.57.3,numeric,Signal transducer and activator of transcription 3 (STAT3),10354-57,SL007221,Signal transducer and activator of transcription 3,STAT3,P40763,6774,STAT3,Human,Protein,PASS,804,0,0
JUN.10356.21.3,numeric,Transcription factor AP-1 (JUN),10356-21,SL000455,Transcription factor AP-1,c-Jun,P05412,3725,JUN,Human,Protein,PASS,765,0,0
OAS1.10361.25.3,numeric,2'-5'-oligoadenylate synthase 1 (OAS1),10361-25,SL014684,2'-5'-oligoadenylate synthase 1,OAS1,P00973,4938,OAS1,Human,Protein,PASS,633,0,0
MYC.10362.35.3,numeric,Myc proto-oncogene protein (MYC),10362-35,SL002565,Myc proto-oncogene protein,c-Myc,P01106,4609,MYC,Human,Protein,PASS,585,0,0
SMAD3.10363.13.3,numeric,Mothers against decapentaplegic homolog 3 (SMAD3),10363-13,SL004097,Mothers against decapentaplegic homolog 3,SMAD3,P84022,4088,SMAD3,Human,Protein,PASS,806,0,0
SMAD2.10364.6.3,numeric,Mothers against decapentaplegic homolog 2 (SMAD2),10364-6,SL004101,Mothers against decapentaplegic homolog 2,SMAD2,Q15796,4087,SMAD2,Human,Protein,PASS,806,0,0
IL12B.IL23A.10365.132.3,numeric,Interleukin-23 (IL12B|IL23A),10365-132,SL005184,Interleukin-23,IL-23,P29460|Q9NPF7,3593|51561,IL12B|IL23A,Human,Protein,PASS,762,0,0
PDGFRA.10366.11.3,numeric,Platelet-derived growth factor receptor alpha (PDGFRA),10366-11,SL001728,Platelet-derived growth factor receptor alpha,PDGFRA,P16234,5156,PDGFRA,Human,Protein,PASS,765,0,0
IL12A.IL12B.10367.62.3,numeric,Interleukin-12 (IL12A|IL12B),10367-62,SL001716,Interleukin-12,IL-12,P29459|P29460,3592|3593,IL12A|IL12B,Human,Protein,PASS,474,0,0
STAT1.10370.21.3,numeric,Signal transducer and activator of transcription 1-alpha/beta (STAT1),10370-21,SL004396,Signal transducer and activator of transcription 1-alpha/beta,STAT1,P42224,6772,STAT1,Human,Protein,PASS,784,0,0
STAT6.10372.18.3,numeric,Signal transducer and activator of transcription 6 (STAT6),10372-18,SL007229,Signal transducer and activator of transcription 6,STAT6,P42226,6778,STAT6,Human,Protein,PASS,805,0,0
Adamts1.10379.19.3,numeric,A disintegrin and metalloproteinase with thrombospondin motifs 1_MOUSE (Adamts1),10379-19,SL017655,A disintegrin and metalloproteinase with thrombospondin motifs 1_MOUSE,ATS1_MOUSE,P97857,11504,Adamts1,Mouse,Non-Human,PASS,737,0,0
ANGPTL3.10382.1.3,numeric,Angiopoietin-related protein 3 (ANGPTL3),10382-1,SL006803,Angiopoietin-related protein 3,ANGL3,Q9Y5C1,27329,ANGPTL3,Human,Protein,PASS,808,0,0
MCL1.10396.6.3,numeric,Induced myeloid leukemia cell differentiation protein Mcl-1 (MCL1),10396-6,SL003755,Induced myeloid leukemia cell differentiation protein Mcl-1,Mcl-1,Q07820,4170,MCL1,Human,Protein,PASS,555,0,0
ANKRD1.10398.110.3,numeric,Ankyrin repeat domain-containing protein 1 (ANKRD1),10398-110,SL019275,Ankyrin repeat domain-containing protein 1,ANKR1,Q15327,27063,ANKRD1,Human,Protein,PASS,677,0,0
STX12.10418.36.3,numeric,Syntaxin-12 (STX12),10418-36,SL011111,Syntaxin-12,STX12,Q86Y82,23673,STX12,Human,Protein,PASS,782,0,0
SCARA5.10419.1.3,numeric,Scavenger receptor class A member 5 (SCARA5),10419-1,SL014110,Scavenger receptor class A member 5,SCAR5,Q6ZMJ2,286133,SCARA5,Human,Protein,PASS,801,0,0
NPDC1.10424.31.3,numeric,Neural proliferation differentiation and control protein 1 (NPDC1),10424-31,SL015264,Neural proliferation differentiation and control protein 1,NPDC1,Q9NQX5,56654,NPDC1,Human,Protein,PASS,693,0,0
B4GALT5.10425.3.3,numeric,"Beta-1,4-galactosyltransferase 5 (B4GALT5)",10425-3,SL017972,"Beta-1,4-galactosyltransferase 5",B4GT5,O43286,9334,B4GALT5,Human,Protein,PASS,669,0,0
X.10427.2.3,numeric,Fc_MOUSE (),10427-2,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,783,0,0
SLC3A2.10430.31.3,numeric,4F2 cell-surface antigen heavy chain (SLC3A2),10430-31,SL008664,4F2 cell-surface antigen heavy chain,4F2,P08195,6520,SLC3A2,Human,Protein,PASS,505,0,0
SHISAL1.10432.3.3,numeric,Uncharacterized protein KIAA1644 (SHISAL1),10432-3,SL018002,Uncharacterized protein KIAA1644,K1644,Q3SXP7,85352,SHISAL1,Human,Protein,PASS,396,0,0
AGA.10435.2.3,numeric,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase (AGA),10435-2,SL008645,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase,ASPG,P20933,175,AGA,Human,Protein,PASS,695,0,0
CSF2RA.10438.19.3,numeric,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha (CSF2RA),10438-19,SL007128,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,CSF2R,P15509,1438,CSF2RA,Human,Protein,PASS,738,0,0
AMY2B.10439.57.3,numeric,Alpha-amylase 2B (AMY2B),10439-57,SL005393,Alpha-amylase 2B,Alpha-amylase 2B,P19961,280,AMY2B,Human,Protein,PASS,805,0,0
CLMP.10440.26.3,numeric,CXADR-like membrane protein (CLMP),10440-26,SL008621,CXADR-like membrane protein,ACAM,Q9H6B4,79827,CLMP,Human,Protein,PASS,771,0,0
TMEM190.10442.1.3,numeric,Transmembrane protein 190 (TMEM190),10442-1,SL018089,Transmembrane protein 190,TM190,Q8WZ59,147744,TMEM190,Human,Protein,PASS,731,0,0
APOM.10445.20.3,numeric,Apolipoprotein M (APOM),10445-20,SL004747,Apolipoprotein M,ApoM,O95445,55937,APOM,Human,Protein,PASS,742,0,0
PABPC3.10447.18.3,numeric,Polyadenylate-binding protein 3 (PABPC3),10447-18,SL018138,Polyadenylate-binding protein 3,PABP3,Q9H361,5042,PABPC3,Human,Protein,PASS,795,0,0
NUCB1.10451.11.3,numeric,Nucleobindin-1 (NUCB1),10451-11,SL008914,Nucleobindin-1,NUCB1,Q02818,4924,NUCB1,Human,Protein,PASS,782,0,0
X.10452.24.3,numeric,Fc_MOUSE (),10452-24,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,727,0,0
CEACAM20.10453.7.3,numeric,Carcinoembryonic antigen-related cell adhesion molecule 20 (CEACAM20),10453-7,SL018233,Carcinoembryonic antigen-related cell adhesion molecule 20,CEA20,Q6UY09,125931,CEACAM20,Human,Protein,PASS,387,0,0
DNAJC16.10454.99.3,numeric,DnaJ homolog subfamily C member 16 (DNAJC16),10454-99,SL018290,DnaJ homolog subfamily C member 16,DJC16,Q9Y2G8,23341,DNAJC16,Human,Protein,PASS,773,0,0
IL31.10455.196.3,numeric,Interleukin-31 (IL31),10455-196,SL004678,Interleukin-31,IL-31,Q6EBC2,386653,IL31,Human,Protein,PASS,707,0,0
IL18RAP.10457.3.3,numeric,Interleukin-18 receptor accessory protein (IL18RAP),10457-3,SL004861,Interleukin-18 receptor accessory protein,IL-18 Rb,O95256,8807,IL18RAP,Human,Protein,PASS,623,0,0
CHIT1.10460.1.3,numeric,Chitotriosidase-1 (CHIT1),10460-1,SL006029,Chitotriosidase-1,Chitotriosidase-1,Q13231,1118,CHIT1,Human,Protein,PASS,807,0,0
X.10461.57.3,numeric,Fc_MOUSE (),10461-57,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,428,0,0
INSL5.10462.14.3,numeric,Insulin-like peptide INSL5 (INSL5),10462-14,SL012880,Insulin-like peptide INSL5,INSL5,Q9Y5Q6,10022,INSL5,Human,Protein,PASS,632,0,0
ALPI.10463.23.3,numeric,Intestinal-type alkaline phosphatase (ALPI),10463-23,SL002514,Intestinal-type alkaline phosphatase,"Alkaline phosphatase, intestine",P09923,248,ALPI,Human,Protein,PASS,731,0,0
ANTXR1.10464.6.3,numeric,Anthrax toxin receptor 1 (ANTXR1),10464-6,SL008696,Anthrax toxin receptor 1,ANTR1,Q9H6X2,84168,ANTXR1,Human,Protein,PASS,790,0,0
X.10467.58.3,numeric,Fc_MOUSE (),10467-58,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,634,0,0
X.10471.25.3,numeric,Fc_MOUSE (),10471-25,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,659,0,0
TNFRSF14.10472.53.3,numeric,Tumor necrosis factor receptor superfamily member 14 (TNFRSF14),10472-53,SL004145,Tumor necrosis factor receptor superfamily member 14,HVEM,Q92956,8764,TNFRSF14,Human,Protein,PASS,771,0,0
TFF2.10473.2.3,numeric,Trefoil factor 2 (TFF2),10473-2,SL002602,Trefoil factor 2,Trefoil factor 2,Q03403,7032,TFF2,Human,Protein,PASS,537,0,0
X.10476.23.3,numeric,Fc_MOUSE (),10476-23,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,806,0,0
MMP10.10479.18.3,numeric,Stromelysin-2 (MMP10),10479-18,SL000645,Stromelysin-2,MMP-10,P09238,4319,MMP10,Human,Protein,PASS,800,0,0
CD59.10480.33.3,numeric,CD59 glycoprotein (CD59),10480-33,SL004557,CD59 glycoprotein,CD59,P13987,966,CD59,Human,Protein,PASS,663,0,0
X.10489.19.3,numeric,Fc_MOUSE (),10489-19,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,458,0,0
RPN1.10490.3.3,numeric,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (RPN1),10490-3,SL011102,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,RPN1,P04843,6184,RPN1,Human,Protein,PASS,798,0,0
X.10494.48.3,numeric,Fc_MOUSE (),10494-48,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,551,0,0
X.10495.10.3,numeric,Fc_MOUSE (),10495-10,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,513,0,0
CLCA1.10496.11.3,numeric,Calcium-activated chloride channel regulator 1 (CLCA1),10496-11,SL009322,Calcium-activated chloride channel regulator 1,CaCC,A8K7I4,1179,CLCA1,Human,Protein,PASS,695,0,0
X.10497.242.3,numeric,Fc_MOUSE (),10497-242,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,619,0,0
TMEM106A.10499.1.3,numeric,Transmembrane protein 106A (TMEM106A),10499-1,SL008733,Transmembrane protein 106A,T106A,Q96A25,113277,TMEM106A,Human,Protein,PASS,592,0,0
X.10502.15.3,numeric,Fc_MOUSE (),10502-15,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,652,0,0
X.10503.55.3,numeric,Fc_MOUSE (),10503-55,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,711,0,0
X.10504.6.3,numeric,Fc_MOUSE (),10504-6,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,525,0,0
RNF43.10505.12.3,numeric,E3 ubiquitin-protein ligase RNF43 (RNF43),10505-12,SL018629,E3 ubiquitin-protein ligase RNF43,RNF43,Q68DV7,54894,RNF43,Human,Protein,PASS,684,0,0
PGRMC2.10506.53.3,numeric,Membrane-associated progesterone receptor component 2 (PGRMC2),10506-53,SL007962,Membrane-associated progesterone receptor component 2,PGRC2,O15173,10424,PGRMC2,Human,Protein,PASS,753,0,0
ACRV1.10507.166.3,numeric,Acrosomal protein SP-10 (ACRV1),10507-166,SL009308,Acrosomal protein SP-10,sperm protein 10,P26436,56,ACRV1,Human,Protein,PASS,513,0,0
SCIMP.10510.62.3,numeric,SLP adapter and CSK-interacting membrane protein (SCIMP),10510-62,SL018612,SLP adapter and CSK-interacting membrane protein,SCIMP,Q6UWF3,388325,SCIMP,Human,Protein,PASS,499,0,0
CSF2RB.10512.13.3,numeric,Cytokine receptor common subunit beta (CSF2RB),10512-13,SL007194,Cytokine receptor common subunit beta,IL3RB,P32927,1439,CSF2RB,Human,Protein,PASS,608,0,0
KCNIP3.10513.13.3,numeric,Calsenilin (KCNIP3),10513-13,SL018613,Calsenilin,CSEN,Q9Y2W7,30818,KCNIP3,Human,Protein,PASS,714,0,0
PTGDS.10514.5.3,numeric,Prostaglandin-H2 D-isomerase (PTGDS),10514-5,SL005360,Prostaglandin-H2 D-isomerase,PGD2 synthase,P41222,5730,PTGDS,Human,Protein,PASS,807,0,0
X.10516.53.3,numeric,Fc_MOUSE (),10516-53,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,311,0,0
X.10518.14.3,numeric,Fc_MOUSE (),10518-14,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,374,0,0
MXRA8.10521.10.3,numeric,Matrix-remodeling-associated protein 8 (MXRA8),10521-10,SL017989,Matrix-remodeling-associated protein 8,MXRA8,Q9BRK3,54587,MXRA8,Human,Protein,PASS,744,0,0
DHX9.10527.22.3,numeric,ATP-dependent RNA helicase A (DHX9),10527-22,SL013075,ATP-dependent RNA helicase A,DHX9,Q08211,1660,DHX9,Human,Protein,PASS,540,0,0
DPEP1.10528.2.3,numeric,Dipeptidase 1 (DPEP1),10528-2,SL008734,Dipeptidase 1,DPEP1,P16444,1800,DPEP1,Human,Protein,PASS,598,0,0
X.10529.19.3,numeric,Fc_MOUSE (),10529-19,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,590,0,0
PSMB6.10530.8.3,numeric,Proteasome subunit beta type-6 (PSMB6),10530-8,SL016414,Proteasome subunit beta type-6,PSB6,P28072,5694,PSMB6,Human,Protein,PASS,578,0,0
NRAS.10531.18.3,numeric,GTPase NRas (NRAS),10531-18,SL010845,GTPase NRas,RASN,P01111,4893,NRAS,Human,Protein,PASS,793,0,0
X.10533.1.3,numeric,Fc_MOUSE (),10533-1,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,646,0,0
PARP1.10534.40.3,numeric,Poly [ADP-ribose] polymerase 1 (PARP1),10534-40,SL003527,Poly [ADP-ribose] polymerase 1,PARP,P09874,142,PARP1,Human,Protein,PASS,627,0,0
CD99L2.10539.30.3,numeric,CD99 antigen-like protein 2 (CD99L2),10539-30,SL014293,CD99 antigen-like protein 2,C99L2,Q8TCZ2,83692,CD99L2,Human,Protein,PASS,667,0,0
TSPEAR.10546.2.3,numeric,Thrombospondin-type laminin G domain and EAR repeat-containing protein (TSPEAR),10546-2,SL012744,Thrombospondin-type laminin G domain and EAR repeat-containing protein,TSEAR,Q8WU66,54084,TSPEAR,Human,Protein,PASS,734,0,0
X.10547.42.3,numeric,Fc_MOUSE (),10547-42,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,626,0,0
X.10548.35.3,numeric,Fc_MOUSE (),10548-35,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,796,0,0
BMPR1B.10550.37.3,numeric,Bone morphogenetic protein receptor type-1B (BMPR1B),10550-37,SL004132,Bone morphogenetic protein receptor type-1B,BMP RIB,O00238,658,BMPR1B,Human,Protein,PASS,642,0,0
LAT.10551.7.3,numeric,Linker for activation of T-cells family member 1 (LAT),10551-7,SL007008,Linker for activation of T-cells family member 1,LAT,O43561,27040,LAT,Human,Protein,PASS,801,0,0
KLRC4.10552.88.3,numeric,NKG2-F type II integral membrane protein (KLRC4),10552-88,SL017983,NKG2-F type II integral membrane protein,NKG2F,O43908,8302,KLRC4,Human,Protein,PASS,726,0,0
